epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.573,3.56703,8.29695,2.37503,0.00019,0.03082,2e-05,0,3.31061,14.6346,2.19749,0.000466993,0.000466993,0.000466993
2,43.1534,3.51109,4.78083,2.15401,0.33339,0.0036,0,0,4.35753,30.2791,4.8084,0.000933988,0.000933988,0.000933988
3,57.7488,3.49893,4.68202,1.98671,0,0,0,0,nan,nan,nan,0.00139155,0.00139155,0.00139155
4,72.7701,3.47236,4.68188,2.00536,0,0.00216,0,0,4.46873,33.1363,4.44419,0.00138656,0.00138656,0.00138656
5,87.474,3.49026,4.61646,1.88013,0,0,0,0,nan,nan,nan,0.00137241,0.00137241,0.00137241
