epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,310.214,1.30403,1.72388,1.09011,0.59251,0.50763,0.48332,0.29946,1.32496,1.76344,1.04715,0.000848969,0.000848969,0.000848969
43,317.054,1.26492,1.62737,1.08121,0.6332,0.50816,0.51628,0.34963,1.19958,1.51104,1.00463,0.000834822,0.000834822,0.000834822
44,324.054,1.32616,1.76634,1.0962,0.58269,0.52627,0.48736,0.31582,1.22721,1.65679,1.00825,0.000820675,0.000820675,0.000820675
45,330.9,1.21045,1.55225,1.047,0.47778,0.49751,0.45816,0.29384,1.3414,1.7617,1.02689,0.000806528,0.000806528,0.000806528
46,337.731,1.20723,1.56089,1.03744,0.53802,0.54104,0.47399,0.26662,1.52192,1.72634,1.08346,0.00079238,0.00079238,0.00079238
47,344.486,1.23915,1.56946,1.05582,0.62988,0.55357,0.53785,0.35404,1.1977,1.55777,0.99597,0.000778233,0.000778233,0.000778233
48,351.365,1.22102,1.59892,1.07211,0.58284,0.60942,0.56216,0.39804,1.12079,1.53277,0.99636,0.000764086,0.000764086,0.000764086
49,358.114,1.21684,1.587,1.07052,0.63941,0.50896,0.5289,0.34941,1.24018,1.48829,1.02197,0.000749939,0.000749939,0.000749939
50,364.719,1.17709,1.53879,1.04326,0.52553,0.59734,0.52918,0.33563,1.32979,1.58578,1.0322,0.000735792,0.000735792,0.000735792
51,371.257,1.1798,1.5075,1.03122,0.52244,0.56763,0.51245,0.34212,1.17468,1.54409,1.0181,0.000721645,0.000721645,0.000721645
52,378.548,1.24996,1.55726,1.0618,0.59275,0.50528,0.48601,0.32361,1.2051,1.81351,1.01142,0.000707498,0.000707498,0.000707498
53,385.56,1.22645,1.55065,1.06235,0.60456,0.50017,0.50708,0.33756,1.19374,1.56586,1.02009,0.000693351,0.000693351,0.000693351
54,392.389,1.22559,1.51785,1.04521,0.57786,0.54458,0.47972,0.31871,1.18968,1.7355,1.01845,0.000679204,0.000679204,0.000679204
55,398.926,1.13679,1.3893,1.02285,0.64378,0.42388,0.43845,0.28084,1.24112,2.09173,1.01354,0.000665057,0.000665057,0.000665057
56,405.678,1.14907,1.46116,1.01747,0.55921,0.54459,0.50755,0.35176,1.13154,1.57908,0.9864,0.000650909,0.000650909,0.000650909
57,412.392,1.2348,1.61338,1.06459,0.61105,0.55169,0.52391,0.36511,1.13421,1.67717,1.01116,0.000636762,0.000636762,0.000636762
58,419.064,1.1801,1.47576,1.04175,0.60537,0.49726,0.51677,0.35307,1.14864,1.83867,0.99374,0.000622615,0.000622615,0.000622615
59,425.714,1.14753,1.46741,1.0251,0.54619,0.52876,0.4938,0.30129,1.3304,1.76626,1.03813,0.000608468,0.000608468,0.000608468
60,432.367,1.12668,1.37544,1.02229,0.58564,0.54514,0.5275,0.34165,1.20639,1.6701,0.98766,0.000594321,0.000594321,0.000594321
61,439.04,1.10587,1.36847,1.02137,0.58098,0.57838,0.5296,0.36457,1.11921,1.62265,0.97544,0.000580174,0.000580174,0.000580174
62,445.664,1.09557,1.36441,1.00604,0.58645,0.55575,0.52123,0.35031,1.16615,1.63009,0.98917,0.000566027,0.000566027,0.000566027
63,452.34,1.03377,1.2577,0.99848,0.55015,0.52389,0.50393,0.33041,1.2298,1.78893,1.00436,0.00055188,0.00055188,0.00055188
64,459.046,1.09996,1.27863,1.02098,0.56231,0.47953,0.44869,0.26425,1.43134,1.87854,1.0483,0.000537733,0.000537733,0.000537733
65,465.844,1.09398,1.33605,1.01109,0.55484,0.50997,0.47714,0.32677,1.17369,1.83781,1.01807,0.000523586,0.000523586,0.000523586
66,472.59,1.11876,1.32279,1.03087,0.65867,0.50559,0.50102,0.34465,1.18325,1.81989,1.00468,0.000509438,0.000509438,0.000509438
67,479.328,1.12131,1.3032,1.01772,0.57955,0.59413,0.54073,0.38632,1.06189,1.64229,0.96692,0.000495291,0.000495291,0.000495291
68,486.14,1.09311,1.32651,1.00246,0.5469,0.5292,0.48078,0.33376,1.13423,1.71218,0.98255,0.000481144,0.000481144,0.000481144
69,492.819,1.05809,1.28557,0.98697,0.55501,0.48008,0.46592,0.31082,1.20037,1.81601,1.00428,0.000466997,0.000466997,0.000466997
70,499.516,1.06991,1.31642,1.00281,0.52796,0.50743,0.46598,0.32051,1.14503,1.85374,0.98997,0.00045285,0.00045285,0.00045285
71,506.248,1.02359,1.22217,0.96486,0.61915,0.49706,0.49129,0.33915,1.14855,1.87605,0.97523,0.000438703,0.000438703,0.000438703
72,513.09,1.08113,1.29886,1.01046,0.51922,0.56732,0.51472,0.36615,1.08374,1.60053,0.96194,0.000424556,0.000424556,0.000424556
73,519.764,1.00232,1.15761,0.99273,0.64071,0.41866,0.42439,0.28446,1.24247,2.13891,0.98295,0.000410409,0.000410409,0.000410409
74,526.485,1.01971,1.16398,0.98583,0.56316,0.54296,0.49811,0.33537,1.16471,1.69325,0.97269,0.000396262,0.000396262,0.000396262
75,533.173,0.97861,1.12975,0.97627,0.55477,0.55513,0.48512,0.33536,1.10548,1.66332,0.96311,0.000382115,0.000382115,0.000382115
76,540.199,0.99976,1.17225,0.96385,0.61142,0.4563,0.44984,0.3071,1.13749,1.8559,0.96517,0.000367967,0.000367967,0.000367967
77,547.323,1.03452,1.19242,0.9849,0.56484,0.46208,0.45624,0.31619,1.14081,1.82349,0.97479,0.00035382,0.00035382,0.00035382
78,554.614,0.99634,1.10828,0.97252,0.56344,0.47567,0.47067,0.3223,1.20175,1.90921,0.99111,0.000339673,0.000339673,0.000339673
