epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1379.7,0.4952,0.34666,0.81975,0.90907,0.89235,0.95055,0.82342,0.52811,0.36288,0.84258,0.00999733,0.00333244,0.00999733,0.00333244,0.00999733,0.00333244,0.00999733,0.00333244
2,2712.06,0.52717,0.37881,0.82713,0.89844,0.89897,0.9482,0.82475,0.49796,0.35223,0.84289,0.0193374,0.00644581,0.0193374,0.00644581,0.0193374,0.00644581,0.0193374,0.00644581
