epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,671.637,3.0731,4.27157,1.66179,0.00095,0.14759,0.00064,0.00022,3.49851,4.07179,1.8457,0.000834822,0.000834822,0.000834822
44,687.146,3.07458,4.27807,1.69475,0.00074,0.16077,0.00051,0.00012,3.71044,3.96493,1.98886,0.000820675,0.000820675,0.000820675
45,702.951,3.03364,4.28705,1.66535,0.00064,0.08872,0.00036,0.00012,3.68618,4.10214,2.04787,0.000806528,0.000806528,0.000806528
46,717.896,3.02753,4.28602,1.63243,0.00053,0.11263,0.00033,0.0001,3.81674,4.1758,2.08325,0.00079238,0.00079238,0.00079238
47,732.517,3.02143,4.26873,1.63607,0.00071,0.17979,0.00072,0.00022,3.49477,3.9645,1.8477,0.000778233,0.000778233,0.000778233
48,747.995,2.99274,4.26889,1.62189,0.00136,0.11737,0.00084,0.00028,3.58713,4.03923,1.93556,0.000764086,0.000764086,0.000764086
49,763.746,2.99099,4.24525,1.60839,0.00061,0.0293,0.00035,8e-05,3.9559,4.36702,2.14978,0.000749939,0.000749939,0.000749939
50,779.301,2.98326,4.25624,1.6279,0.0008,0.12595,0.00052,0.00013,3.87268,4.19913,2.09444,0.000735792,0.000735792,0.000735792
51,794.823,3.01381,4.25374,1.63238,0.00088,0.13822,0.00054,0.00017,3.52683,3.99497,1.90239,0.000721645,0.000721645,0.000721645
52,810.389,2.98114,4.27151,1.65335,0.00086,0.17321,0.00061,0.0002,3.53852,4.03209,1.95014,0.000707498,0.000707498,0.000707498
53,825.896,3.0134,4.24882,1.6493,0.00097,0.15472,0.00066,0.00019,3.65285,4.13552,1.99116,0.000693351,0.000693351,0.000693351
54,840.773,3.01766,4.23624,1.64063,0.00097,0.18509,0.00064,0.0002,3.58938,4.05256,1.91796,0.000679204,0.000679204,0.000679204
55,855.334,2.967,4.26275,1.64875,0.00221,0.06664,0.00128,0.00038,3.70386,4.1673,2.04753,0.000665057,0.000665057,0.000665057
56,870.734,2.97477,4.21861,1.64151,0.00091,0.20056,0.00066,0.00021,3.52734,3.88817,1.93143,0.000650909,0.000650909,0.000650909
57,886.545,2.97529,4.24556,1.64166,0.0019,0.17676,0.00294,0.00077,3.36247,3.95674,1.86546,0.000636762,0.000636762,0.000636762
58,902.331,2.8858,4.22265,1.60877,0.00395,0.08811,0.00269,0.00096,3.57584,4.04717,1.95571,0.000622615,0.000622615,0.000622615
59,917.895,2.91501,4.23505,1.61304,0.00267,0.0909,0.00229,0.00071,3.52495,4.0592,1.94695,0.000608468,0.000608468,0.000608468
60,933.442,2.94794,4.22716,1.64576,0.00148,0.1479,0.00157,0.00066,3.5597,4.02218,2.01716,0.000594321,0.000594321,0.000594321
61,949.004,2.98561,4.23427,1.64398,0.00201,0.09494,0.00326,0.00173,3.44114,4.01223,1.86132,0.000580174,0.000580174,0.000580174
62,963.548,2.92023,4.24865,1.61277,0.00325,0.03809,0.00339,0.00159,3.54335,4.17201,1.88394,0.000566027,0.000566027,0.000566027
63,978.226,2.89322,4.20715,1.61701,0.00254,0.26058,0.00328,0.00121,3.46028,3.9627,1.90346,0.00055188,0.00055188,0.00055188
64,993.75,2.96461,4.23363,1.62201,0.00262,0.15553,0.00224,0.00072,3.51198,4.00413,1.95549,0.000537733,0.000537733,0.000537733
65,1009.47,2.91735,4.21554,1.64012,0.00189,0.24412,0.00403,0.00112,3.36365,3.81522,1.85115,0.000523586,0.000523586,0.000523586
66,1025.08,2.88837,4.18627,1.61689,0.00329,0.2134,0.00551,0.00211,3.5159,4.0012,1.95044,0.000509438,0.000509438,0.000509438
67,1040.48,2.87234,4.18512,1.59079,0.00289,0.22593,0.0064,0.00238,3.46896,3.91406,1.87665,0.000495291,0.000495291,0.000495291
68,1056.02,2.84359,4.17772,1.58542,0.005,0.13658,0.00431,0.00167,3.49978,4.03484,1.96731,0.000481144,0.000481144,0.000481144
69,1071.4,2.88193,4.21089,1.58801,0.00366,0.19324,0.00644,0.00253,3.4299,3.94955,1.93044,0.000466997,0.000466997,0.000466997
70,1086.03,2.85565,4.18018,1.59703,0.00394,0.18328,0.00505,0.00185,3.61418,3.98535,2.02507,0.00045285,0.00045285,0.00045285
71,1100.81,2.92131,4.1688,1.60825,0.00258,0.23227,0.00286,0.0012,3.43352,3.92919,1.88895,0.000438703,0.000438703,0.000438703
72,1116.66,2.85567,4.11474,1.59867,0.00285,0.22119,0.0038,0.00145,3.45728,3.93113,1.87882,0.000424556,0.000424556,0.000424556
73,1132.39,2.85562,4.13712,1.57981,0.00314,0.2713,0.0063,0.00268,3.33793,3.86917,1.80129,0.000410409,0.000410409,0.000410409
74,1147.83,2.85821,4.13654,1.58373,0.00433,0.18127,0.00562,0.00259,3.53873,4.00942,1.9216,0.000396262,0.000396262,0.000396262
75,1163.6,2.86014,4.1213,1.56686,0.00353,0.19137,0.00544,0.00219,3.50799,3.97864,1.91917,0.000382115,0.000382115,0.000382115
76,1179.24,2.82246,4.12446,1.55024,0.00239,0.24375,0.00546,0.00178,3.3361,3.88534,1.79903,0.000367967,0.000367967,0.000367967
77,1194.44,2.82648,4.13165,1.55589,0.00335,0.24695,0.0049,0.00199,3.44155,3.85703,1.91406,0.00035382,0.00035382,0.00035382
78,1209.1,2.88197,4.12406,1.59033,0.68725,0.01126,0.00785,0.0033,3.43132,3.78385,1.89153,0.000339673,0.000339673,0.000339673
79,1224.05,2.82842,4.12359,1.54749,0.00319,0.26441,0.00739,0.00327,3.4332,3.81727,1.89434,0.000325526,0.000325526,0.000325526
80,1239.81,2.79508,4.15518,1.55769,0.00537,0.22175,0.00719,0.003,3.37925,3.8858,1.81986,0.000311379,0.000311379,0.000311379
81,1255.52,2.80113,4.09881,1.55528,0.00318,0.24025,0.0061,0.00261,3.49886,3.94902,1.92328,0.000297232,0.000297232,0.000297232
82,1271.13,2.79432,4.08592,1.55472,0.70192,0.01177,0.0078,0.00327,3.51622,3.89528,1.94913,0.000283085,0.000283085,0.000283085
83,1286.6,2.80525,4.08467,1.54821,0.00419,0.24164,0.00767,0.00301,3.39998,3.86666,1.86224,0.000268938,0.000268938,0.000268938
84,1302.33,2.81307,4.11845,1.57865,0.36396,0.01982,0.00825,0.00352,3.5045,3.92895,1.94837,0.000254791,0.000254791,0.000254791
85,1317.29,2.82536,4.11794,1.57486,0.74129,0.00811,0.01004,0.0045,3.43872,3.85162,1.90713,0.000240644,0.000240644,0.000240644
86,1331.94,2.87688,4.10142,1.57468,0.00342,0.26122,0.00883,0.00342,3.41785,3.887,1.88721,0.000226497,0.000226497,0.000226497
87,1347.1,2.79116,4.10935,1.54816,0.00427,0.20801,0.00713,0.00299,3.42512,3.92558,1.89246,0.000212349,0.000212349,0.000212349
88,1362.72,2.79121,4.05745,1.58281,0.00452,0.22537,0.00901,0.00411,3.4383,3.89471,1.89249,0.000198202,0.000198202,0.000198202
89,1378.29,2.77084,4.04136,1.55215,0.00487,0.22873,0.01164,0.0051,3.49883,3.90209,1.93282,0.000184055,0.000184055,0.000184055
90,1393.8,2.79097,4.05369,1.56943,0.00308,0.22808,0.00973,0.00378,3.49313,3.93386,1.92181,0.000169908,0.000169908,0.000169908
91,1408.51,2.78332,4.24879,1.61347,0.00371,0.20791,0.00813,0.00329,3.48326,3.91675,1.93415,0.000155761,0.000155761,0.000155761
92,1423.45,2.74368,4.16144,1.59037,0.00405,0.18555,0.01018,0.00386,3.46241,3.84731,1.90487,0.000141614,0.000141614,0.000141614
93,1437.82,2.69695,4.12781,1.57151,0.36734,0.02117,0.00953,0.00353,3.48554,3.87434,1.92914,0.000127467,0.000127467,0.000127467
94,1451.66,2.70808,4.10783,1.58005,0.3531,0.03188,0.00864,0.00332,3.5055,3.88597,1.9552,0.00011332,0.00011332,0.00011332
95,1466.01,2.70817,4.09602,1.59652,0.00326,0.20741,0.0089,0.00341,3.48122,3.91813,1.92428,9.91726e-05,9.91726e-05,9.91726e-05
96,1480.95,2.6617,4.08587,1.58002,0.00321,0.19816,0.00827,0.00358,3.5151,3.90149,1.94593,8.50255e-05,8.50255e-05,8.50255e-05
97,1495.94,2.65426,4.10172,1.56502,0.71992,0.01486,0.00865,0.00353,3.53635,3.9042,1.95947,7.08784e-05,7.08784e-05,7.08784e-05
98,1510.81,2.65943,4.08882,1.56183,0.37724,0.01667,0.00832,0.00325,3.51231,3.90512,1.94442,5.67313e-05,5.67313e-05,5.67313e-05
99,1525.44,2.6439,4.06656,1.56971,0.72745,0.01351,0.00853,0.00343,3.51567,3.90111,1.94342,4.25842e-05,4.25842e-05,4.25842e-05
100,1540.28,2.67791,4.04725,1.58518,0.73496,0.01081,0.00851,0.00347,3.5171,3.87502,1.93909,2.84371e-05,2.84371e-05,2.84371e-05
