epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9654,2.21686,6.27652,1.5192,0.5046,0.25374,0.11967,0.07046,1.52672,3.81947,1.1111,0.00035725,0.00035725,0.00035725
2,26.1353,1.87744,3.52646,1.3335,0.2384,0.24139,0.16974,0.07112,1.79582,2.88832,1.22657,0.000721575,0.000721575,0.000721575
3,32.9555,1.89056,2.98248,1.36118,0.35045,0.30705,0.22211,0.09626,1.89969,2.41895,1.2718,0.00107854,0.00107854,0.00107854
4,39.7714,1.98974,3.0956,1.43141,0.14924,0.34142,0.17653,0.08103,1.71469,2.55238,1.29154,0.00138656,0.00138656,0.00138656
